odom_yaw_drift_deg_per_sqrt_min,seed,max_v,circ_err_mean,circ_err_max,turn_total,net_yaw,final_x,final_y,final_v,success
0,1000,4.50,0.015,0.054,25.1,0.00,35.1,-0.00,0.000,1
0,1001,4.50,0.015,0.071,25.2,0.00,35.2,0.00,0.000,1
0,1002,4.50,0.015,0.071,25.2,0.00,35.2,0.00,0.000,1
0,1003,4.50,0.015,0.052,25.1,0.00,35.1,-0.00,0.000,1
0,1004,4.50,0.015,0.065,25.2,0.00,35.2,0.00,0.000,1
0,1005,4.50,0.015,0.061,25.2,0.00,35.1,-0.00,0.000,1
0,1006,4.50,0.015,0.069,25.2,0.00,35.2,0.00,0.000,1
0,1007,4.50,0.015,0.063,25.2,0.00,35.1,0.00,0.000,1
2,1000,4.50,0.091,0.191,25.1,0.00,35.2,0.26,0.000,1
2,1001,4.50,0.029,0.077,25.2,-0.00,35.1,0.07,0.000,1
2,1002,4.50,0.029,0.061,25.2,-0.01,35.2,-0.03,0.000,1
2,1003,4.50,0.034,0.062,25.1,-0.00,35.1,0.01,0.000,1
2,1004,4.50,0.056,0.119,25.2,-0.00,35.1,0.06,0.000,1
2,1005,4.50,0.022,0.103,25.2,0.00,35.1,-0.01,0.000,1
2,1006,4.50,0.044,0.139,25.2,-0.00,35.1,-0.08,0.000,1
2,1007,4.50,0.069,0.169,25.2,-0.00,35.1,0.08,0.000,1
4,1000,4.50,0.182,0.380,25.2,0.00,35.1,0.47,0.000,1
4,1001,4.50,0.047,0.134,25.2,-0.01,35.1,0.15,0.000,1
4,1002,4.50,0.064,0.128,25.2,-0.01,35.1,-0.07,0.000,1
4,1003,4.50,0.059,0.109,25.2,0.00,35.1,0.02,0.000,1
4,1004,4.50,0.108,0.223,25.2,-0.00,35.2,0.12,0.000,1
4,1005,4.50,0.041,0.141,25.2,0.01,35.2,-0.02,0.000,1
4,1006,4.50,0.090,0.242,25.2,-0.01,35.1,-0.15,0.000,1
4,1007,4.50,0.134,0.321,25.2,-0.00,35.1,0.16,0.000,1
6,1000,4.50,0.272,0.558,25.3,-0.00,35.1,0.71,0.000,1
6,1001,4.50,0.065,0.192,25.3,-0.01,35.1,0.23,0.000,1
6,1002,4.50,0.099,0.200,25.3,-0.02,35.3,-0.11,0.000,1
6,1003,4.50,0.083,0.157,25.2,0.00,35.2,0.03,0.000,1
6,1004,4.50,0.160,0.325,25.2,-0.00,35.1,0.18,0.000,1
6,1005,4.50,0.060,0.198,25.2,0.01,35.1,-0.03,0.000,1
6,1006,4.50,0.137,0.376,25.3,-0.01,35.2,-0.23,0.000,1
6,1007,4.50,0.199,0.470,25.3,-0.01,35.2,0.24,0.000,1
8,1000,4.50,0.361,0.734,25.3,-0.01,35.2,0.97,0.000,1
8,1001,4.50,0.086,0.247,25.3,-0.02,35.1,0.32,0.000,1
8,1002,4.50,0.134,0.271,25.3,-0.02,35.1,-0.14,0.000,1
8,1003,4.50,0.107,0.204,25.3,0.01,35.1,0.03,0.000,1
8,1004,4.50,0.212,0.428,25.3,-0.00,35.2,0.23,0.000,1
8,1005,4.50,0.081,0.259,25.3,0.02,35.2,-0.04,0.000,1
8,1006,4.50,0.185,0.513,25.3,-0.01,35.1,-0.32,0.000,1
8,1007,4.50,0.270,0.646,25.3,-0.01,35.1,0.24,0.000,1
10,1000,4.50,0.486,3.839,25.4,-0.02,35.1,1.26,0.000,0
10,1001,4.50,0.105,0.305,25.3,-0.02,35.2,0.40,0.000,1
10,1002,4.50,0.170,0.347,25.4,-0.02,35.1,-0.20,0.000,1
10,1003,4.50,0.131,0.253,25.3,0.01,35.1,0.04,0.000,1
10,1004,4.50,0.263,0.531,25.4,0.00,35.1,0.29,0.000,1
10,1005,4.50,0.101,0.318,25.2,0.02,35.2,-0.05,0.000,1
10,1006,4.50,0.234,0.659,25.3,-0.02,35.1,-0.40,0.000,1
10,1007,4.50,0.330,0.765,25.3,-0.01,35.1,0.42,0.000,1
