epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5087,1.50695,4.53096,0.95473,0.00067,0.01111,0.01167,0.0105,1.49162,4.38861,0.88488,0.00027775,0.00027775,0.00027775
2,28.7639,1.76473,3.99594,0.91584,0.00318,0.11111,0.02749,0.01691,1.61354,4.33355,0.91011,0.000635251,0.000635251,0.000635251
3,41.9526,1.50261,2.73895,0.88974,0.00571,0.15556,0.09194,0.04848,1.5672,4.14195,0.88508,0.000978087,0.000978087,0.000978087
4,55.1808,1.4635,2.32377,0.87312,0.01077,0.23333,0.11589,0.04869,1.51801,4.03986,0.87579,0.00104501,0.00104501,0.00104501
5,68.2713,1.53343,2.26435,0.9172,0.01334,0.25556,0.15604,0.10062,1.23284,3.90463,0.83868,0.00102301,0.00102301,0.00102301
6,81.6424,1.29593,1.76526,0.86294,0.01293,0.27475,0.1375,0.09613,1.1995,3.84552,0.83394,0.00100101,0.00100101,0.00100101
7,95.0011,1.269,1.80551,0.87785,0.01161,0.23333,0.11955,0.09478,1.11619,3.7941,0.81572,0.000979013,0.000979013,0.000979013
8,108.322,1.23699,1.50499,0.86365,0.00964,0.2,0.12405,0.09428,1.09781,3.68401,0.81687,0.000957015,0.000957015,0.000957015
9,121.442,1.19682,1.44235,0.86762,0.01032,0.2,0.12811,0.0983,1.08,3.61686,0.81881,0.000935018,0.000935018,0.000935018
10,134.583,1.33364,1.34518,0.84934,0.01105,0.2,0.13354,0.10662,1.02833,3.56149,0.80855,0.00091302,0.00091302,0.00091302
11,147.518,1.15815,1.30698,0.83388,0.01143,0.2303,0.13669,0.11205,0.98809,3.44194,0.81019,0.000891022,0.000891022,0.000891022
12,160.828,0.9887,1.37173,0.85374,0.01475,0.41515,0.25752,0.20895,0.97577,3.30953,0.81691,0.000869024,0.000869024,0.000869024
13,174.079,1.05909,1.30885,0.91051,0.01443,0.43737,0.32925,0.26528,0.92355,3.24727,0.81206,0.000847026,0.000847026,0.000847026
14,187.378,1.1126,1.23297,0.84461,0.47937,0.49798,0.42805,0.31509,0.95822,3.0968,0.8168,0.000825029,0.000825029,0.000825029
15,200.513,0.96993,1.18666,0.82797,1,0.05253,0.52347,0.38557,1.00261,2.90222,0.82315,0.000803031,0.000803031,0.000803031
16,213.489,0.90303,1.09388,0.8519,1,0.05076,0.55153,0.42177,0.90665,2.75785,0.81646,0.000781033,0.000781033,0.000781033
17,226.585,0.90333,1.01316,0.81307,1,0.05086,0.5913,0.45272,0.85763,2.72748,0.80925,0.000759035,0.000759035,0.000759035
18,239.56,0.87066,1.06358,0.83947,1,0.04372,0.63283,0.45193,0.81787,2.68172,0.80137,0.000737037,0.000737037,0.000737037
19,252.826,0.97521,1.01764,0.82134,1,0.04664,0.65004,0.46311,0.84712,2.53069,0.80032,0.00071504,0.00071504,0.00071504
20,266.059,0.84117,0.93491,0.81859,1,0.1413,0.70294,0.49675,0.82338,2.34632,0.79446,0.000693042,0.000693042,0.000693042
21,279.188,0.99691,0.94364,0.81192,1,0.18172,0.70369,0.504,0.78992,2.20426,0.78918,0.000671044,0.000671044,0.000671044
22,292.337,0.94032,0.89579,0.81559,1,0.19635,0.69589,0.52897,0.76997,2.12652,0.78726,0.000649046,0.000649046,0.000649046
23,305.642,0.92561,0.91728,0.82251,1,0.19021,0.69749,0.53771,0.75271,2.16294,0.78835,0.000627048,0.000627048,0.000627048
24,318.901,0.86137,0.92453,0.86445,1,0.21813,0.70057,0.53735,0.74999,2.15452,0.7916,0.000605051,0.000605051,0.000605051
25,331.961,0.73029,0.87701,0.81159,0.96831,0.31408,0.70477,0.54134,0.75757,1.95524,0.791,0.000583053,0.000583053,0.000583053
26,345.154,0.98579,0.95801,0.82091,0.89963,0.42279,0.7124,0.56216,0.6902,1.77318,0.78695,0.000561055,0.000561055,0.000561055
27,358.351,0.79424,0.80826,0.81798,0.86644,0.48965,0.72599,0.56422,0.652,1.67863,0.78763,0.000539057,0.000539057,0.000539057
28,371.407,0.80929,0.84103,0.79146,0.8523,0.5774,0.73691,0.56569,0.65331,1.62199,0.79094,0.000517059,0.000517059,0.000517059
29,384.707,0.81846,0.97298,0.83885,0.80788,0.63026,0.73617,0.56447,0.67773,1.574,0.79372,0.000495062,0.000495062,0.000495062
30,397.994,0.79895,0.77198,0.79016,0.79977,0.64293,0.73488,0.54884,0.69568,1.49548,0.79329,0.000473064,0.000473064,0.000473064
31,411.033,0.91013,0.8524,0.82676,0.82755,0.64592,0.74908,0.54161,0.67571,1.37874,0.7903,0.000451066,0.000451066,0.000451066
32,424.018,0.82404,0.80269,0.84339,0.82878,0.65905,0.75045,0.55428,0.66355,1.21214,0.78703,0.000429068,0.000429068,0.000429068
33,437.007,0.85903,0.80382,0.80963,0.84474,0.66193,0.74751,0.54342,0.63905,1.0459,0.78149,0.00040707,0.00040707,0.00040707
34,450.108,0.82677,0.78377,0.79219,0.83542,0.65471,0.73621,0.54169,0.64601,0.97912,0.77908,0.000385073,0.000385073,0.000385073
35,463.443,0.84722,0.76358,0.79461,0.83583,0.66733,0.74191,0.55581,0.62616,0.96843,0.77934,0.000363075,0.000363075,0.000363075
36,476.758,0.75785,0.74786,0.79831,0.85652,0.68081,0.75857,0.56968,0.58898,0.95508,0.7799,0.000341077,0.000341077,0.000341077
37,489.853,0.77714,0.77126,0.82106,0.8478,0.67419,0.76037,0.57353,0.58474,0.93758,0.78008,0.000319079,0.000319079,0.000319079
38,502.792,0.75696,0.75997,0.78972,0.85895,0.66075,0.76167,0.56605,0.59836,0.90147,0.78098,0.000297081,0.000297081,0.000297081
39,515.882,0.90454,0.7599,0.80608,0.86033,0.67217,0.75222,0.55835,0.61986,0.8316,0.78247,0.000275084,0.000275084,0.000275084
40,529.006,0.79114,0.81311,0.79126,0.85443,0.66148,0.74767,0.55209,0.62917,0.77989,0.78212,0.000253086,0.000253086,0.000253086
41,541.813,0.65175,0.82315,0.7919,0.84607,0.68081,0.75686,0.56009,0.59935,0.73746,0.77939,0.000231088,0.000231088,0.000231088
42,554.621,0.63415,0.82536,0.80615,0.86418,0.68081,0.75669,0.56582,0.58377,0.73815,0.77723,0.00020909,0.00020909,0.00020909
43,567.231,0.7576,0.93622,0.82775,0.89439,0.68081,0.75594,0.57142,0.58051,0.77857,0.77804,0.000187092,0.000187092,0.000187092
44,580.058,0.62622,0.80489,0.78528,0.92234,0.67736,0.75309,0.57592,0.57806,0.80732,0.77961,0.000165095,0.000165095,0.000165095
45,592.747,0.66745,0.8555,0.79149,0.92518,0.67113,0.75309,0.57635,0.57937,0.80525,0.78019,0.000143097,0.000143097,0.000143097
46,605.432,0.62179,0.8761,0.78788,0.92737,0.67656,0.75622,0.57113,0.57783,0.77647,0.78015,0.000121099,0.000121099,0.000121099
47,617.975,0.72953,0.89278,0.81874,0.92192,0.65051,0.74573,0.56914,0.57754,0.73526,0.77873,9.91012e-05,9.91012e-05,9.91012e-05
48,630.44,0.72702,0.83448,0.80747,0.92284,0.64963,0.74386,0.56815,0.57383,0.70363,0.77796,7.71034e-05,7.71034e-05,7.71034e-05
49,642.999,0.66097,0.78954,0.79886,0.90233,0.63768,0.72967,0.56706,0.56895,0.68202,0.7773,5.51056e-05,5.51056e-05,5.51056e-05
50,655.52,0.62531,0.79692,0.7915,0.90082,0.63717,0.73557,0.56957,0.56447,0.66787,0.7763,3.31078e-05,3.31078e-05,3.31078e-05
